image_path,label_path,split
Images/trainval/00001.jpg,Annotations/trainval/00001.xml,train
Images/trainval/00002.jpg,Annotations/trainval/00002.xml,train
Images/trainval/00003.jpg,Annotations/trainval/00003.xml,train
Images/trainval/00004.jpg,Annotations/trainval/00004.xml,train
Images/trainval/00005.jpg,Annotations/trainval/00005.xml,train
Images/trainval/00006.jpg,Annotations/trainval/00006.xml,train
Images/trainval/00007.jpg,Annotations/trainval/00007.xml,train
Images/trainval/00008.jpg,Annotations/trainval/00008.xml,train
Images/trainval/00009.jpg,Annotations/trainval/00009.xml,train
Images/trainval/00010.jpg,Annotations/trainval/00010.xml,train
Images/trainval/00011.jpg,Annotations/trainval/00011.xml,train
Images/trainval/00012.jpg,Annotations/trainval/00012.xml,train
Images/trainval/00013.jpg,Annotations/trainval/00013.xml,train
Images/trainval/00014.jpg,Annotations/trainval/00014.xml,train
Images/trainval/00015.jpg,Annotations/trainval/00015.xml,train
Images/trainval/00016.jpg,Annotations/trainval/00016.xml,train
Images/trainval/00017.jpg,Annotations/trainval/00017.xml,train
Images/trainval/00018.jpg,Annotations/trainval/00018.xml,train
Images/trainval/00019.jpg,Annotations/trainval/00019.xml,train
Images/trainval/00020.jpg,Annotations/trainval/00020.xml,train
Images/trainval/00021.jpg,Annotations/trainval/00021.xml,train
Images/trainval/00022.jpg,Annotations/trainval/00022.xml,train
Images/trainval/00023.jpg,Annotations/trainval/00023.xml,train
Images/trainval/00024.jpg,Annotations/trainval/00024.xml,train
Images/trainval/00025.jpg,Annotations/trainval/00025.xml,train
Images/trainval/00026.jpg,Annotations/trainval/00026.xml,train
Images/trainval/00027.jpg,Annotations/trainval/00027.xml,train
Images/trainval/00028.jpg,Annotations/trainval/00028.xml,train
Images/trainval/00029.jpg,Annotations/trainval/00029.xml,train
Images/trainval/00030.jpg,Annotations/trainval/00030.xml,train
Images/trainval/00031.jpg,Annotations/trainval/00031.xml,train
Images/trainval/00032.jpg,Annotations/trainval/00032.xml,train
Images/trainval/00033.jpg,Annotations/trainval/00033.xml,train
Images/trainval/00034.jpg,Annotations/trainval/00034.xml,train
Images/trainval/00035.jpg,Annotations/trainval/00035.xml,train
Images/trainval/00036.jpg,Annotations/trainval/00036.xml,train
Images/trainval/00037.jpg,Annotations/trainval/00037.xml,train
Images/trainval/00038.jpg,Annotations/trainval/00038.xml,train
Images/trainval/00039.jpg,Annotations/trainval/00039.xml,train
Images/trainval/00040.jpg,Annotations/trainval/00040.xml,train
Images/trainval/00041.jpg,Annotations/trainval/00041.xml,train
Images/trainval/00042.jpg,Annotations/trainval/00042.xml,train
Images/trainval/00043.jpg,Annotations/trainval/00043.xml,train
Images/trainval/00044.jpg,Annotations/trainval/00044.xml,train
Images/trainval/00045.jpg,Annotations/trainval/00045.xml,train
Images/trainval/00046.jpg,Annotations/trainval/00046.xml,train
Images/trainval/00047.jpg,Annotations/trainval/00047.xml,train
Images/trainval/00048.jpg,Annotations/trainval/00048.xml,train
Images/trainval/00049.jpg,Annotations/trainval/00049.xml,train
Images/trainval/00050.jpg,Annotations/trainval/00050.xml,train
Images/trainval/00051.jpg,Annotations/trainval/00051.xml,train
Images/trainval/00052.jpg,Annotations/trainval/00052.xml,train
Images/trainval/00053.jpg,Annotations/trainval/00053.xml,train
Images/trainval/00054.jpg,Annotations/trainval/00054.xml,train
Images/trainval/00055.jpg,Annotations/trainval/00055.xml,train
Images/trainval/00056.jpg,Annotations/trainval/00056.xml,train
Images/trainval/00057.jpg,Annotations/trainval/00057.xml,train
Images/trainval/00058.jpg,Annotations/trainval/00058.xml,train
Images/trainval/00059.jpg,Annotations/trainval/00059.xml,train
Images/trainval/00060.jpg,Annotations/trainval/00060.xml,train
Images/trainval/00061.jpg,Annotations/trainval/00061.xml,train
